"mid_lat","mid_long","HAKE","CHOK","ECSOLE","GURN","HMKC","RAJIDE","KOB","PANG","SJSH","KKLP","SFSH","HNSH","MONK"
-34.1666665,22.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.833333,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.4999995,0.848639371835898,0.528971848560934,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.1666665,0.877031214363044,0,0,0,0,0.48043339708318,0,0,0,0,0,0,0
-34.1666665,22.1666665,0.683483051943093,0.292535704761898,0.175632194979736,0,0.365669630952373,0.402387668830044,0.242537749057316,0,0.248942636941732,0,0,0,0
-35.1666665,21.4999995,0.850863900425557,0.525386165551214,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.833333,0.890929987606891,0,0,0.454140679947068,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.4999995,0.544757580334399,0,0.426996022132443,0,0,0.721743427923858,0,0,0,0,0,0,0
-34.4999995,21.4999995,0,0,1,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,0.903648898735679,0,0,0,0,0.428274056900245,0,0,0,0,0,0,0
-35.1666665,21.4999995,0.900992845090644,0.433833946453556,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.833333,0,0,0,0,0,1,0,0,0,0,0,0,0
-35.1666665,21.4999995,0.957219295010959,0.289363476027507,0,0,0,0,0,0,0,0,0,0,0
-34.833333,21.833333,0.956719556441887,0.291011495170963,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,0.709176728323859,0,0,0,0,0.693099116671473,0,0,0,0,0.0913290273491709,0.0913290273491709,0
-35.1666665,21.4999995,0.92776667226814,0.373160825688471,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.1666665,0,0.172128167779152,0,0.247239685901669,0,0,0,0.906683320081144,0,0,0.295245302517871,0,0
-35.1666665,21.4999995,0.894994602025823,0.446076969081166,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.4999995,0.954585141129208,0.29793826262387,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,0.757842201527201,0,0,0.371656150174597,0.536234000807299,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-35.1666665,21.833333,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,0.585977808785067,0,0,0.343925642235259,0.408157791451689,0,0,0,0.609714996946767,0,0,0,0
-35.1666665,21.4999995,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.833333,0.940245019343337,0.340498610276237,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.833333,0.92881047065137,0.37055513706921,0,0,0,0,0,0,0,0,0,0,0
-34.1666665,22.1666665,1,0,0,0,0,0,0,0,0,0,0,0,0
-34.4999995,21.1666665,0.566731715360844,0,0,0,0,0.82390239883384,0,0,0,0,0,0,0
